,surprisal,reconstruction,word_freq,precision,precision_surp,f0_mean,voiced
0,0.0182841331703,-0.149911202238,7.091030258,13.7923017024,0.252180281051,84.6354844712,100
1,0.0210393568709,-0.1158590825,7.091030258,12.268180021,0.258114617619,104.347822141,80
2,0.0264255875628,0.0781839288525,7.091030258,9.75850610955,0.25787425768,95.4847836507,70
3,0.0456738000332,-0.102178956886,10.3490322899,5.1483802956,0.235146092116,132.907109531,103
4,0.047139173971,-0.061154523919,7.091030258,5.94944298496,0.280451827899,86.7438489619,33
5,0.0567878677002,0.0740110027905,7.091030258,4.83764156203,0.274719349006,131.804048215,35
6,0.0591438612256,-0.000612396738202,7.091030258,4.76918919047,0.28206826364,92.9335315511,101
7,0.0625413628231,-0.0448761757068,10.3490322899,5.67030142129,0.354628378505,86.3904388422,52
8,0.0678610375277,0.0143439951572,10.3490322899,4.38169936479,0.297346665029,95.2969587434,96
9,0.0709893986409,-0.06782549842,10.3490322899,4.17755425737,0.296562064521,84.1788463752,76
10,0.079820211125,0.0125621656259,10.9066089911,4.07512503196,0.325277340412,104.893915186,432
11,0.0817161830785,0.0302846285215,10.3490322899,4.34240557733,0.354844809158,84.5437886551,90
12,0.0931308049318,-0.0174003096291,10.3490322899,2.81332045741,0.26200679873,78.2139855846,110
13,0.094313214001,0.0036598677993,10.3490322899,3.56815134518,0.336523821406,96.4657143684,103
14,0.0975057416267,0.0554810351229,10.3490322899,2.82497631019,0.275451410203,97.9120477974,120
15,0.097840962211,-0.0189716876442,10.3490322899,3.80200131913,0.371991467391,86.4883460862,52
16,0.110741277644,0.231683644869,10.3490322899,2.88182408579,0.319136881206,90.81809542,90
17,0.135284219798,0.0102664850896,7.091030258,2.31043960118,0.312566018837,108.894155843,55
18,0.135988213488,0.0936314381552,7.97100157387,2.79458980731,0.380031275328,86.3794734857,69
19,0.136002325812,0.12777211786,8.29317537571,2.01914237553,0.274608059217,86.5587623566,120
20,0.160370699792,0.208500272423,8.29317537571,2.10979570276,0.338349413269,107.783727577,130
21,0.184285702035,-0.107375225073,7.091030258,2.04654814205,0.377149561106,100.785526609,79
22,0.192517767567,0.0477586598494,8.29317537571,1.89824604606,0.365446091079,106.301323547,90
23,0.196882840584,-0.0128718137834,7.2368872208,2.07103224539,0.407750711413,89.8782355773,130
24,0.202975701552,0.117469417113,8.55436702056,1.51137544981,0.306772492234,101.675341007,230
25,0.203087046385,0.0257857434091,8.55436702056,1.5750927819,0.319880940857,101.721737718,230
26,0.204524876847,0.197885234249,10.0503490568,1.98609363591,0.406205556292,127.304742042,188
27,0.20698752188,-0.0619265592832,7.091030258,1.61311300896,0.333894264236,78.4742403381,12
28,0.206987828863,-0.0651975909596,7.091030258,1.57895425749,0.326824313631,79.1926645881,21
29,0.210140167721,0.148375477719,9.34134952083,1.91647459644,0.402728293128,117.805077276,60
30,0.211927694438,-0.184578059428,7.091030258,2.06099344334,0.436781588698,127.94678443,61
31,0.216482191017,0.0512460959643,7.091030258,1.90535100384,0.412474559968,100.996517808,18
32,0.217875630732,0.0479156368022,7.091030258,1.67222441188,0.364336948463,102.17580232,36
33,0.222276771498,-0.0488060153227,7.091030258,1.739382936,0.386624423412,102.683206061,15
34,0.22597629074,0.0100347286522,8.55436702056,1.41821508762,0.320482984973,107.313989472,204
35,0.237341231791,0.0708158134308,10.3490322899,1.57123532281,0.37291892695,98.6279338634,110
36,0.245874827551,0.0759416948326,10.3490322899,1.31646649408,0.323685972208,85.6595380722,110
37,0.248542221957,-0.0160746776676,7.091030258,1.76593828838,0.438910226033,118.994331751,83
38,0.250042004221,-0.0604404112046,9.34134952083,1.53196595546,0.383055837902,154.545668362,120
39,0.251157302304,0.0502689783558,7.091030258,1.45026577293,0.364244839153,98.8858282988,119
40,0.256627123065,0.0199604287794,7.091030258,1.53742834666,0.394545813523,78.7691784106,49
41,0.259151046177,-0.0649080102852,10.3490322899,1.21233020141,0.314176640008,83.3925846071,100
42,0.26167050233,-0.247695877094,6.98174720037,1.27475008924,0.333564496196,99.9872673109,60
43,0.300581823526,0.0567789681968,7.091030258,1.21833006344,0.366207872126,127.546077688,93
44,0.310037814291,-0.0409670957902,7.091030258,1.30677051673,0.405148274788,83.0063924881,37
45,0.312160029869,-0.0962926297018,10.3490322899,1.22799521427,0.383331022765,95.9996047596,90
46,0.32058084684,0.00262761726372,7.091030258,1.25828389934,0.403381718016,85.3488394311,110
47,0.321690111745,-0.0588430856941,10.3490322899,1.00731790511,0.324044209458,90.4845838014,130
48,0.322089426421,-0.03552113973,7.091030258,1.19047477238,0.383439336603,89.951616937,80
49,0.3293705012,-0.0372323269118,8.55436702056,1.17667245361,0.387561195793,110.266252987,280
50,0.333566565292,0.0286270119271,8.55436702056,1.10001650495,0.366928727322,114.121327847,239
51,0.334972422115,0.0170100010463,7.091030258,0.897945685491,0.300787041196,113.530034016,80
52,0.335854540745,0.114045812476,10.3490322899,1.50234195895,0.504568368664,85.2777318608,107
54,0.342626436539,-0.111638713415,7.091030258,1.33628790733,0.457847563878,88.0514643447,90
55,0.343225329459,-0.0560991870713,6.90774973834,1.10664509932,0.37982862881,79.1997992524,97
56,0.343519117614,-0.0426070454343,8.55436702056,1.11321905018,0.38241202583,131.516525478,180
57,0.349319347765,0.0135744430351,10.3490322899,1.29160408023,0.451182294875,83.5955375386,105
58,0.350838438766,-0.0234191406443,10.3490322899,1.13600899724,0.398555623014,79.5609084161,70
59,0.359085177486,0.0318466570851,8.42036350793,1.22507653756,0.439906825925,102.065360543,190
